transaction_time,user_id,recipient,transaction_amount,hour,voice_match,device_id,region,receiver_bank,receiver_account,is_new_account_for_user,avg_amount_to_bank,amount_ratio_to_bank_avg,is_nighttime,recent_transaction_gap,is_new_device,ip_address,vpn,payment_method,browser,intent,authentication,app_version,rooting,isFraud
2025-04-19 08:12:00,user_252,수진,745851,17,True,ee487ff8b56347aa8a6140ae6d10daec,37.824972,하나은행,9651481574583,False,179226,1.04,0,24.8,False,192.168.60.222,False,P03,,T02,A05,2.2.5,False,0
2025-04-18 06:04:00,user_184,영희,964046,9,False,50986a9f7ac3483a8789a05830979b19,35.653365,토스뱅크,9232304032012,False,146980,1.34,0,9.3,False,192.168.211.184,False,P03,,T05,A02,1.4.1,False,0
2025-04-16 04:51:00,user_231,민지,216189,16,True,44bd3476735f41859a071dceaf8c40ad,37.091806,토스뱅크,5454485448912,False,140648,0.79,0,20.0,True,192.168.85.126,False,P01,,T01,A01,2.2.1,False,0
2025-04-18 07:02:00,user_242,민지,227401,11,True,eb31db4e677241aa977dbdbb7513bce0,37.100786,국민은행,3088267103334,False,218354,0.91,0,27.9,False,192.168.179.156,False,P01,,T02,A05,2.9.2,False,0
2025-04-18 03:21:00,user_021,수진,109051,22,True,e8c77540f68349d9b3a0d4678256afd5,36.554559,우리은행,1898474988776,False,133548,0.86,0,11.5,False,192.168.160.93,False,P02,,T05,A05,1.1.7,False,0
2025-04-19 09:40:00,user_040,수진,367874,21,True,73baa3b5524a4b2587f34b95884cfb3e,37.257866,우리은행,3061498818069,False,118491,1.04,0,3.9,True,192.168.41.83,False,P01,,T04,A02,1.2.7,False,0
2025-04-15 09:36:00,user_276,영희,78674,8,True,a7eea16b2a6447b48372658de452b7ec,35.542544,우리은행,6847894213352,True,145516,0.97,0,12.7,False,192.168.195.156,False,P01,,T04,A01,2.5.4,False,0
2025-04-18 14:42:00,user_102,수진,424658,10,True,5af765d22fa04a82810b33d71547f442,37.918242,토스뱅크,9481969089426,False,249584,1.26,0,39.2,True,192.168.217.162,False,P02,,T02,A04,1.9.8,False,0
2025-04-19 10:03:00,user_063,영희,434093,11,True,458523d8f787421b9dd5f9275e394f90,37.201158,우리은행,1891475991282,True,100840,1.09,0,3.4,False,192.168.58.125,False,P02,,T02,A06,2.8.2,False,0
2025-04-15 07:19:00,user_139,철수,609895,7,True,8e6e0538f4a24799818c7291769b5934,37.453759,우리은행,4204444516645,True,270543,1.16,0,33.8,False,192.168.231.46,False,P01,,T05,A02,2.8.3,False,0
2025-04-16 21:50:00,user_050,철수,538127,14,True,eda4e1e4b7a24a8691128fcde16a4344,37.32109,국민은행,4354762792621,False,145759,0.96,0,7.5,False,192.168.86.37,False,P01,,T03,A01,1.6.9,False,0
2025-04-20 04:47:00,user_287,수진,799003,18,False,3300b72b3cd64bf8b088dba4e6bbb1e0,37.277224,우리은행,2603336090314,False,220987,1.12,0,19.1,False,192.168.192.127,False,P01,,T05,A06,1.6.9,False,0
2025-04-18 15:52:00,user_172,민지,144542,16,True,d995780c26cc40baa12b7f482f6e337a,37.916997,하나은행,1711253843062,False,283937,1.1,0,2.2,True,192.168.254.232,False,P01,,T04,A03,1.3.3,False,0
2025-04-18 22:13:00,user_253,철수,349760,14,True,b6a47495e6ec4fd7ac4e62ca122bf5b6,36.567445,우리은행,4477735657017,False,170167,1.01,0,18.9,False,192.168.212.80,False,P02,,T05,A01,2.2.5,False,0
2025-04-17 18:39:00,user_099,영희,164713,12,True,953ebd2db91641ae8b53cf0b69fade7c,35.202046,토스뱅크,1055934326357,False,113675,1.41,0,21.9,False,192.168.50.88,False,P03,,T02,A03,1.2.6,False,0
2025-04-19 04:33:00,user_033,수진,723642,21,True,3c8696f9ab044ed0a4755dc0afd575d5,37.648151,우리은행,8496543295132,False,104051,0.86,0,6.2,False,192.168.125.109,False,P03,,T04,A05,2.3.8,False,0
2025-04-15 09:42:00,user_282,영희,541480,6,True,778ce1ae8e6246d6b8064ef27e1b06f7,37.454955,우리은행,2149289534156,False,163769,0.97,0,1.7,False,192.168.136.77,False,P03,,T01,A05,2.9.2,False,0
2025-04-18 13:30:00,user_130,영희,1786121,5,False,662cd35ea2c94467a84483d16b230e54,37.691947,국민은행,3964159453385,True,100728,1.64,1,1.2,True,10.0.129.41,True,P02,,T03,A04,1.8.8,True,1
2025-04-19 21:31:00,user_151,영희,229027,9,True,cccf806d8b6c4098b8fc66a209882680,37.330135,국민은행,6056423654797,False,222922,0.92,0,28.4,False,192.168.189.59,False,P01,,T05,A05,1.1.7,False,0
2025-04-20 15:58:00,user_058,수진,878501,17,True,f2c3e562d9284226b72d578a078b417b,35.130337,신한은행,6575059944761,False,105897,0.99,0,12.6,False,192.168.27.48,False,P01,,T01,A05,1.8.8,False,0
2025-04-18 12:56:00,user_096,민지,853782,5,False,6630c6f470554ca9989765cc7f8c31e0,35.697337,하나은행,4338164987846,True,230221,4.44,1,4.0,True,10.0.17.119,True,P03,,T05,A03,2.0.5,True,1
2025-04-16 13:29:00,user_149,민지,156702,15,True,384f9f52dbd549bd985df72516afcf94,36.830375,국민은행,3795505666113,False,297984,1.26,0,29.0,False,192.168.206.235,False,P01,,T01,A04,2.0.4,False,0
2025-04-18 05:20:00,user_140,철수,910084,12,True,1f07eb97fde04a3daab65ff9e1b0b50c,37.687536,토스뱅크,3464319308607,False,112336,0.76,0,1.9,False,192.168.155.46,False,P01,,T05,A03,2.2.4,False,0
2025-04-21 14:05:00,user_185,영희,639192,8,True,7be05e62d5284aa79426659c36b2010b,37.698217,국민은행,4223434571508,False,139755,0.91,0,32.5,False,192.168.91.17,False,P02,,T01,A03,1.5.3,False,0
2025-04-18 10:27:00,user_147,민지,226300,18,True,0bbe3a3d69f74525aad2bb8e550c9150,36.310026,신한은행,5952498171115,False,201038,0.87,0,6.2,False,192.168.50.235,False,P02,,T02,A02,2.4.3,False,0
2025-04-18 13:20:00,user_120,수진,733478,0,False,7f134f24ccf747d497f9d05443133474,35.575719,하나은행,8664904782631,True,134899,3.16,1,1.6,True,10.0.188.76,True,P02,,T04,A06,1.7.7,True,1
2025-04-16 08:43:00,user_163,수진,632014,19,True,6b39230a58e548bb830c01877c877a7d,35.603637,신한은행,2200772020862,False,245473,1.06,0,14.7,False,192.168.224.26,False,P01,,T02,A06,2.6.7,False,0
2025-04-20 17:23:00,user_143,민지,534317,21,True,8f818f4e00c948588e91774255c8212e,36.697859,신한은행,5244925525741,False,130521,0.98,0,7.3,False,192.168.103.55,False,P03,,T05,A04,1.9.0,False,0
